ID,Pathogen,Cleaned Name,Original Name,Region,Country,City,Street Address,Postal Code,Contact Phone #,Email Address,Institution Type,URL,Affiliation,Research_Area,Research_Description,Source
72,Zika,Genekam Biotechnology AG,Genekam Biotechnology AG,Europe (EURO),Germany,Duissern,Duissern Str. 65a,47058,"49 203 / 555858-31,-32,-33 ",anfrage@genekam.de,Private,http://genekam.de/products.php,,Laboraty Methods,DNA test for Zika virus detection,http://genekam.de/press/Press-release-zika-virus.php
73,Zika,Fast-track Diagnostics,Fast-track Diagnostics,Europe (EURO),Malta,Sliema,"Seaview No. 2, Qui-Si-Sana Seafront",3110,356-2765-4302, Info@fast-trackdiagnostics.com,Private,http://www.fast-trackdiagnostics.com,,Laboraty Methods,Nucleic acid based kit for Zika detection,http://www.fast-trackdiagnostics.com/news-events/new-ftd-zikadenguechik-assay-now-available/
74,Zika,Altona Diagnostics,Altona Diagnostics,Europe (EURO),Germany,Hamburg,Mörken strasse. 12,22767,49 40 548 06 76 - 0,info@altona-diagnostics.com,Private,http://www.altona-diagnostics.com/history.html,,Laboraty Methods,RT-PCR kit for Zika detection,http://www.altona-diagnostics.com/realstar-zika-virus-rt-pcr-kit-354.html
75,Zika,GenArraytion,GenArraytion,America (AMRO),United States,"Rockville, MD ",9610 Medical Center Dr #230,20850,(240) 453-6312,pschaudies@genarraytion.com,Private,http://www.genarraytion.com,,Laboraty Methods,PCR-based test for Zika detection,http://www.businesswire.com/news/home/20160129005841/en/GenArraytion-Introduces-Commercially-Test-Identify-Zika-Virus
76,Zika,Luminex,Luminex,America (AMRO),United States,"Austin, TX","12212 Technology Blvd, Suite 130 ", 78727,1-512-336-3550,orders@luminexcorp.com,Private,https://www.luminexcorp.com,,Laboraty Methods,Working with USP (Brazil) to validate detection platform,http://www.prnewswire.com/news-releases/luminex-corporation-announces-collaboration-with-university-of-sao-paulo-to-validate-zika-virus-detection-panel-300226525.html
77,Zika,Genesig,Genesig,Europe (EURO),United Kingdom,Chandler's Ford,"Primerdesign Ltd, York House, School Lane",SO53 4DG,44 (0)2380 748 830,enquiry@primerdesign.co.uk,Private,http://www.genesig.com/home,,Laboraty Methods,Nucleic acid testing for Zika,http://www.genesig.com/products/9742
78,Zika,My Biosource,MyBioSource,America (AMRO),United States,"San Diego, CA ",  P.O. Box 153308,92195-3308,1.858.633.0165    ,sales@mybiosource.com,Private,http://www.mybiosource.com,,Laboraty Methods,ELISA-based kit for Zika detection,http://www.mybiosource.com/prods/ELISA-Kit/Human/Zika-Virus-IgG-ZV-IgG/ZV-IgG/datasheet.php?products_id=109002
79,Zika,My Biosource,My Biosource,America (AMRO),United States,"San Diego, CA ",  P.O. Box 153308,92195-3308,1.858.633.0165    ,sales@mybiosource.com,Private,http://www.mybiosource.com,,Laboraty Methods,ELISA-based kit for Zika detection,
80,Zika,My Biosource,My Biosource,America (AMRO),United States,"San Diego, CA ",  P.O. Box 153308,92195-3308,1.858.633.0165    ,sales@mybiosource.com,Private,http://www.mybiosource.com,,Laboraty Methods,ELISA-based kit for Zika detection,
81,Zika,Statens Serum Institute,Statens Serum Institute,Europe (EURO),Denmark,Copenhagen S,5 Artillerivej ,DK-2300,45 3268 3268,serum@ssi.dk,Public,http://www.ssi.dk/english.aspx,EDCTP,Laboraty Methods,Antibody isolation for Zika detection,http://www.ssi.dk/diagnostik/diagnostiskhaandbog/2000-2099/2017.aspx
82,Zika,Zika Real time PCR kit,Zika Real time PCR kit,Western Pacific (WPRO),China,Shanghai,"Shanghai Zhijiang Biotechnology Limited Company, 2nd floor, No.15 Building, No.188 Xinjunhuan Road, PuJiang Hi-tech Park",,86-21-34680596,trade@liferiver.com.cn,Public,www.liferiver.com.cn,,Laboraty Methods,PCR kit for Zika virus RNA,http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
83,Zika,"Co-Diagnostics, Inc.","Co-Diagnostics, Inc.",America (AMRO),United States,"Bountiful, UT",585 W 500 S # 210,84010,(801) 683-8994,info@codiagnostics.com,Private,http://codiagnostics.com,,Laboraty Methods,Qualitative PCR kit for the detection of Zika virus nucleic acids,http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
84,Zika,Fiocruz,Fiocruz,America (AMRO),Brazil,Rio de Janeiro,"Av. Brazil, 4365 - Manguinho",21040-900 ,(0xx21)2598-4242,,Public,http://portal.fiocruz.br/en/content/home-inglês,GloPID-R,Laboraty Methods,"Zika, Dengue and Chikungunya multiplex PCR kit",http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
85,Zika,Experimental Therapeutics Centre (ETC) - Agency for Science Technology Research,Experimental Therapeutics Centre (ETC) - Agency for Science Technology Research,Western Pacific (WPRO),Singapore,Singapore,"1 Fusionopolis Way, #20-10 Connexis North Tower",138632,(65) 6826 6111 , contact@a-star.edu.sg,Public,https://www.a-star.edu.sg/About-A-STAR/Biomedical-Research-Council/Biomedical-Research-Institutes-Consortia.aspx,,Laboraty Methods,Developing a multiplex PCR assay that will be used in hospital laboratories,http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
86,Zika,Vela Diagnostics,Vela Diagnostics,Western Pacific (WPRO),Singapore,Singapore,"50 Science Park Road, #05-07 The Kendall",117406,65 6672 6060,http://www.veladx.com/contact/contact-form.html,Private,http://www.veladx.com,,Laboraty Methods,PCR kit – Zika PCR assay to be added to current multiplex PCR kit containing Chikungunya and Dengue,http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
87,Zika,Vista NanoBioSensor/Vista Therapeutics,Vista NanoBioSensor/Vista Therapeutics,America (AMRO),United States,"Santa Fe, NM","Vista Therapeutics, Inc., 3900 Paseo del Sol",87507,1-505-474-3143,info@vistananobiosciences.com,Private,http://www.vistatherapeutics.org,,Laboraty Methods,Identification of viral particles using nanotechnology,http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
88,Zika,Thermo Fisher,Thermo Fisher,America (AMRO),United States,"South San Francisco, CA ",180 Oyster Point Blvd,94080,(800) 955-6288,csecommerce@lifetech.com,Private,https://www.thermofisher.com/us/en/home.html,,Laboraty Methods,Anti-ZIKV ELISA tests,http://www.businesswire.com/news/home/20160222006521/en/Thermo-Fisher-Scientific-Offers-EUROIMMUN-Anti-Zika-Virus
89,Zika,Siemens Healthcare Diagnostics,Siemens Healthcare Diagnostics,Europe (EURO),Germany,Erlangen,Henkestr. 127,91052,800 20 10 20 22,https://www.healthcare.siemens.com/how-can-we-help-you/email-us,Private,http://www.healthcare.siemens.com/laboratory-diagnostics,,Laboraty Methods,Genetic assay to test for Zika prior to AB production,http://www.businesswire.com/news/home/20160229005657/en/Siemens-Release-Detection-Test-Zika-Virus
90,Zika,SD Biosensors,SD Biosensors,Western Pacific (WPRO),South Korea,"Yeongtong-gu, Suwon-si, GyeongGi-do",Floor Digital Empire Building 980-3 Yeongtong-dong,,82-31-300-0477, sales@sdbiosensor.com,Private,http://sdbiosensor.co.kr/?ckattempt=1,,Laboraty Methods,Zika PCR Kit,http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
91,Zika,SolGent,SolGent,Western Pacific (WPRO),South Korea,"Yuseong-gu, Daejeon", 692 Gwanpyeong-dong,,82 42-864-5695,,Private,http://www.solgent.com/eng/index.php,,Laboraty Methods,"Zika, Dengue and Chikungunya multiplex PCR kit",http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
92,Zika,Euroimmune,Euroimmune,Europe (EURO),Germany,Luebeck ,Seekamp 31,23560,49 451 5855-0, info@euroimmun.de,Private,https://www.euroimmun.com/startseite.html,,Laboraty Methods,Anti_Zika Virus IIFT (IgM or IgG) utilise Zika virus_infected cells as the antigenic substrate. Positive and negative results are evaluated by fluorescence microscopy.,http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
93,Zika,Euroimmune,Euroimmune,Europe (EURO),Germany,Luebeck ,Seekamp 31,23560,49 451 5855-0, info@euroimmun.de,Private,https://www.euroimmun.com/startseite.html,,Laboraty Methods,Anti_Zika Virus ELISA (IgM) provide fully automated antibody detection using microplates coated with a recombinant protein from Zika virus.,http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
94,Zika,Euroimmune,Euroimmune,Europe (EURO),Germany,Luebeck ,Seekamp 31,23560,49 451 5855-0, info@euroimmun.de,Private,https://www.euroimmun.com/startseite.html,,Laboraty Methods,Anti_Zika Virus ELISA (IgG) provide fully automated antibody detection using microplates coated with a recombinant protein from Zika virus.,http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
95,Zika,Biocan Diagnostics,Biocan Diagnostics,America (AMRO),Canada,"Coquitlam, BC","55A &, 53 B Fawcett Rd",V3K 6V2,1-778-855-1720,sales@rapidtest.ca,Private,http://www.zikatest.com,,Laboraty Methods,Mix of ZIKV NS1 and Envelope protein (for IgM and IgG detection),http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
96,Zika,Biocan Diagnostics,Biocan Diagnostics,America (AMRO),Canada,"Coquitlam, BC","55A &, 53 B Fawcett Rd",V3K 6V2,1-778-855-1720,sales@rapidtest.ca,Private,http://www.zikatest.com,,Laboraty Methods,"Cassette format: Dengue IgG/IgM, NS1 Ag +Chikungunya IgG/IgM Ab + Zika IgG/IgM Combo",http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
97,Zika,Orangelife,Orangelife,America (AMRO),Brazil,Rio de Janeiro,"Estr. dos Bandeirantes, 11742 - Vargem Pequena",22783-551,55 21 3518-5552,contato@orangelife.com.br,Private,http://www.orangelife.com.br,,Laboraty Methods,Ag/Ab based test for Zika,http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
98,Zika,NG Biotech Z.A.,NG Biotech Z.A.,America (AMRO),France,Guipry,"ZA Courbouton, secteur 1, Atelier relais le Tremplin",35480,33 2 23 30 17 83,info@ngbiotech.com,Private,http://www.ngbiotech.com/index.php,,Laboraty Methods,Under development: RDT to detect Zika antibodies,http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
99,Zika,InBios,InBios,Europe (EURO),United States,"Seattle, WA",562 1st Avenue South #600,98104,(206) 344-5821,info@inbios.com,Private,http://www.inbios.com,,Laboraty Methods,Developing an antigen detection test (during acute/febrile phase and an IgM/IgG test for convalescent phase samples.,http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
100,Zika,CureVac,CureVac,America (AMRO),United States,"Cambridge, MA","210 Broadway, Suite 201", 02139,49 7071 9883 - 0, info@curevac.com,Private,http://www.curevac.com,,Vaccine,"mRNA-based vaccine, in exploratory/early development phase ",http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
101,Zika,Profectus Biosciences,Profectus Biosciences,America (AMRO),United States,"Baltimore, MD",6411 Beckley St # 201,21224,(443) 743-1100, presley@profectusbiosciences.net,Private,http://www.profectusbiosciences.com,,Vaccine,Planning/discovery stage,http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
102,Zika,Middle Tennessee State University,Middle Tennessee State University,America (AMRO),United States,"Murfreesboro, TN",1301 E Main St,37132,(615) 898-2300,news@mtsu.edu ,Academic,http://www.mtsu.edu,,Therapeutics,Developing ICI406 - an experimental Zika treatment with possible activity against secondary conditions like microcephaly and GBS,http://www.huffingtonpost.ca/jason-tetro/zika-therapy_b_9798906.html
103,Zika,Quest Diagnostics,Quest Diagnostics,America (AMRO),United States,"Madison, NJ",3 Giralda Farms,7940,800-222-0446,https://secure.questdiagnostics.com/ViewsFlash/servlet/viewsflash?cmd=page&pollid=contactus!bus_dev,Private,http://questdiagnostics.com/home.html,,Laboraty Methods,Zika Virus RNA Qualitative Real-Time RT-PCR test given FDA Emergency Use Authorization,http://newsroom.questdiagnostics.com/2016-04-28-Zika-Test-from-Quest-Diagnostics-Authorized-by-the-FDA-for-Emergency-Use
104,Zika,Ennaid Therapeutics,Ennaid Therapeutics,America (AMRO),United States,Alpharetta,2972B Webb Bridge RD (ATC Innovation Center),30009,678-720-8151,bizdev@ennaidthera.com,Private,http://ennaidtherapeutics.com/science/,,Laboraty Methods," peptide fusion inhibitors show significant inhibition against many Flaviviridae family of viruses, such as Dengue and possibly Zika",http://www.prnewswire.com/news-releases/ennaid-therapeutics-prioritizes-zika-virus-rapid-drug-development-in-wake-of-crisis-300219899.html
105,Zika,European Medicines Agency,European Medicines Agency,Europe (EURO),England,London,30 Churchill Pl,E14 5EU,44 20 3660 6000,,Public,http://www.ema.europa.eu/ema/,,Regulator,Set up a task force to provide scientific and regulartory advice on Zika,http://www.ema.europa.eu/ema/index.jsp?curl=pages/news_and_events/news/2016/02/news_detail_002466.jsp&mid=WC0b01ac058004d5c1
106,Zika,NIBSC,NIBSC,Europe (EURO),England,"South Mimms, Potters Bar",Blanche Ln,EN6 3QG,44 1707 641000,enquiries@nibsc.org,Public,http://www.nibsc.org/,,Laboraty Methods,N/A,N/A,http://www.fool.com/investing/general/2016/04/16/the-race-to-cure-the-zika-virus-is-on-and-this-com.aspx,,,,,,,,,,,
107,Zika,NIH/VRC,NIH/VRC,America (AMRO),United States,"Bethesda, MD",5601 Fishers Lane,20892,866-284-4107,ocpostoffice@niaid.nih.gov,Public,www.vrc.nih.gov,,Vaccine,Using West Nile and dengue vaccines as model for Zika vaccine development,http://www.niaid.nih.gov/about/directors/congress/Documents/NIAID-Zika-Testimony-5-12-2016.pdf
108,Zika,Alere,Alere,America (AMRO),United States,"Waltham, MA","51 Sawyer Road, Suite 200",2453,(781) 647-3900,,Private,www.alere.com,,Laboraty Methods,"Developing a Zika diagnostic test, Abbott Labs bought them for $5.8M",http://www.reuters.com/article/us-alere-m-a-abbott-idUSKCN0VA2IM
109,Zika,Biomérieux,Biomérieux,America (AMRO),United States,"Durham, NC",100 Rodolphe Street,27712,(800) 682-2666,,Private,http://www.biomerieux-usa.com/,,Laboraty Methods,Developing a Zika diagnostic test,http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
110,Zika,Cepheid,Cepheid,America (AMRO),United States,"Sunnyside, CA",904 Caribbean Drive,94089,1-408-541-4191,investor.relations@cepheid.com,Private,http://www.cepheid.com/,Partnering with FIND,Laboraty Methods,Developing a Zika diagnostic test,http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
111,Zika,Veterinary Research Institute,Veterinary Research Institute,Europe (EURO),Czech Republic,Brno,Hudcova 296/70,621 00 ,420 5 3333 2501,skrivanek(at)vri.cz,Academic,http://www.vri.cz/,,Laboraty Methods,Identified anti-Zika activity from 2_-C-methylated nucleosides,http://jid.oxfordjournals.org/content/early/2016/05/26/infdis.jiw226.abstract
112,Zika,The Czech Academy of Sciences,The Czech Academy of Sciences,Europe (EURO),Czech Republic,Prague,Fleming Sq. 2,16610,420 221 403 111, info@cas.cz,Academic,http://www.avcr.cz/en,,Laboraty Methods,Identified anti-Zika activity from 2_-C-methylated nucleosides,http://jid.oxfordjournals.org/content/early/2016/05/26/infdis.jiw226.abstract
113,Zika,University of South Bohemia,University of South Bohemia,Europe (EURO),Czech Republic,_eské Bud_jovice,Brani_ovská 31,37005,420 387 776 201,N/A,Academic,http://www.prf.jcu.cz/en,,Laboraty Methods,Identified anti-Zika activity from 2_-C-methylated nucleosides,http://jid.oxfordjournals.org/content/early/2016/05/26/infdis.jiw226.abstract
114,Zika,INSA National Institute of Health Dr. Ricardo Jorge,INSA National Institute of Health Dr. Ricardo Jorge,Europe (EURO),Portugal,Águas de Moura,"Av. da Liberdade, 5",2965-575,(+351) 265 912 155,cevdi@insa.min-saude.pt,Public,http://www.insa.pt/sites/INSA/English/Pages/NationalHealthInstituteDoutorRicardoJorge.aspx,,Laboraty Methods,Identified anti-Zika activity from 2_-C-methylated nucleosides,http://jid.oxfordjournals.org/content/early/2016/05/26/infdis.jiw226.abstract
115,Zika,Rega Institute for Medical Research,Rega Institute for Medical Research,Europe (EURO),Belgium,Leuven,Minderbroedersstraat 10,B-3000 ,32 16 33 73 67,N/A,Academic,http://rega.kuleuven.be/,,Laboraty Methods,Identified anti-Zika activity from 2_-C-methylated nucleosides,http://jid.oxfordjournals.org/content/early/2016/05/26/infdis.jiw226.abstract
116,Zika,Aix Marseille Université,Aix Marseille Université,Europe (EURO),France,Marseille cedex 07,58 blvd Charles Livon,13284,33 491 396 500,N/A,Academic,http://www.univ-amu.fr/en,,Laboraty Methods,,
117,Zika,Crucell Holland B.V.,Crucell Holland B.V.,Europe (EURO),Netherlands,Archimedesweg 4,2301 CA Leiden,P.O. Box 2048,31 71 519 7777,JanssenIDVNL@its.jnj.com,Private,http://www.janssen.com/infectious-diseases-and-vaccines/crucell,,Vaccine,Joined Janssen Pharma and was awarded $28.5M for vaccine development,http://www.avianflutalk.com/jj-parda-evd-vaccine-funding-usd-285mil_topic34935.html
118,Zika,GSK Biologicals,GSK Biologicals,America (AMRO),United States,"Philadelphia, PA",5 Crescent Drive,19112,888 825 5249,corporate.media@gsk.com,Private,http://www.gsk.com/,,Vaccine,Preclinical development based on earlier experience with flaviviruses,http://www.glopid-r.org/wp-content/uploads/2016/05/findings-of-zika-research-working-groups-on-vaccines-aetiology-and-diagnostics.pdf
119,Zika,Norwegian Institute of Public Health,Norwegian Institute of Public Health,Europe (EURO),Norway,Oslo,PO Box 4404 Nydalen,403,47 21077000,"http://www.fhi.no/eway/default.aspx?pid=239&trg=Left_7048&Main_6157=6261:0:25,5532&MainContent_6261=7047:0:25,8272&Left_7048=6659:103594::0:7049:1:::0:0",Public,http://www.fhi.no/,,Laboraty Methods,Antibody and PCR tests for Zika,"http://www.fhi.no/eway/default.aspx?pid=240&trg=Content_6765&Main_6664=6894:0:25,7555:1:0:0:::0:0&MainContent_6894=6765:0:25,7572:1:0:0:::0:0&Content_6765=6729:118603:25,7572:1:6770:1:::0:0"
120,Zika,Imperial College,Imperial College,Europe (EURO),United Kingdom,London,South Kensington Campus,SW7 2AZ,44 (0)20 7589 5111,N/A,Academic,https://www.imperial.ac.uk/,,Vaccine,Recombinant vaccines; currently have efficacy in rodents,http://www.glopid-r.org/wp-content/uploads/2016/05/findings-of-zika-research-working-groups-on-vaccines-aetiology-and-diagnostics.pdf
121,Zika,BARDA,BARDA,America (AMRO),United States,"Washington, DC","200 Independence Avenue, S.W. Room 638G",20201,N/A,N/A,Public,,,Funder,"Supporting multiple federal vaccine and diagnostic projects, funding available for private sector",http://www.glopid-r.org/wp-content/uploads/2016/05/findings-of-zika-research-working-groups-on-vaccines-aetiology-and-diagnostics.pdf
122,Zika,Biocryst,Biocryst,America (AMRO),United States,"Durham, NC","4505 Emperor Blvd, Suite 200",27703,(919) 859-1302,info@biocryst.com,Private,http://www.biocryst.com/,,Therapeutics,BCX443 tested in mice successfully,http://www.reuters.com/article/us-health-zika-biocryst-pharm-idUSKCN0W91B8
123,Zika,Broad Institute,Broad Institute,America (AMRO),United States,"Cambridge, MA",415 Main St.,2142,617-714-7000,https://www.broadinstitute.org/contact,Academic,https://www.broadinstitute.org/,,Laboraty Methods,Rapid low-cost diagnostic test,https://www.broadinstitute.org/publications/broad8188
124,Zika,Cayetano Heredia University,Cayetano Heredia University,America (AMRO),Peru,Lima,"Av Honorio Delgado 430, Urb Engineering",N/A,51 1 3190000,portalweb@upch.pe,Academic,http://www.upch.edu.pe/portal/,,Vector Control,Developing methods to kill Zika-carrying viruses,http://www.mb.com.ph/fish-other-mosquitoes-now-warriors-in-zika-battle/
125,Zika,Center for Biologics Evaluation and Research (CBER),Center for Biologics Evaluation and Research (CBER),America (AMRO),United States,"SIlver Spring, MD",10903 New Hampshire Avenue Building 71 Room 3103,20993-0002,(800) 835-4709,ocod@fda.hhs.gov,Public,http://www.fda.gov/AboutFDA/CentersOffices/OfficeofMedicalProductsandTobacco/CBER/default.htm,,Vaccine,Working with the CDC to accelerate diagnostics for Zika,http://www.raps.org/Regulatory-Focus/News/2016/03/30/24679/FDA-Authorizes-Use-of-Investigational-Diagnostic-to-Screen-Blood-Donors-for-Zika/
126,Zika,PaxVax,PaxVax,America (AMRO),United States,Redwood City,"900 Veterans Blvd., Ste. 500",94063,(650) 847-1075,info@paxvax.com,Private,http://www.paxvax.com/,,Vaccine,Early preclinical development,http://www.who.int/csr/research-and-development/zika-rd-pipeline.pdf
127,Zika,Novavax,Novavax,America (AMRO),United States,Gaithersburg,20 Firstfield Road,20878,(240) 268-2000,ir@novavax.com,Public,http://novavax.com/,,Vaccine,Exploratory R&D,http://www.fiercepharma.com/r-d/novavax-explores-zika-vaccine-r-d-effort-as-virus-continues-to-spread
128,Zika,University of Toronto,University of Toronto,America (AMRO),Canada,Toronto,27 King's College Cir,M5S 1A1,416-978-2011,gradschool@utoronto.ca,Academic,www.utoronto.ca,,Laboraty Methods,Rapid low-cost diagnostic test,https://www.utoronto.ca/news/rapid-low-cost-detection-zika-virus-developed-experts-u-t-harvard-mit-cornell-and-more
129,Zika,Walter Reed Army Institute of Research,Walter Reed Army Institute of Research,America (AMRO),United States,"Silver Spring, MD",503 Robert Grant Ave,20910,301-319-9471,usarmy.detrick.medcom-wrair.mbx.public-affairs@mail.mil,Public,http://wrair-www.army.mil,,Vaccine,Whole-particle inactivated Zika vaccine,https://www.niaid.nih.gov/topics/zika/researchapproach/Pages/vaccineResearch.aspx
130,Zika,MIT,MIT,America (AMRO),United States,Cambridge,77 Massachusetts Ave,2139,617-253-1000,tele-info@mit.edu.,Academic,http://web.mit.edu/,,Laboraty Methods,Rapid low-cost diagnostic test,http://news.mit.edu/2016/paper-based-test-zika-virus-0506
131,Zika,Biotron,Biotron,Western Pacific (WPRO),Australia,"North Ryde, NSW","Box 31, 3/3 Julius Avenue",2113,(61-2) 9805 0488,enquiries@biotron.com.au,Private,http://www.biotron.com.au/,,Laboraty Methods,Developed two compounds that have shown anti-ZIKA activity,http://www.biotron.com.au/wp-content/uploads/2016/05/Biotron-Compounds-Demonstrate-Activity-Against-Zika-Virus.pdf
132,Ebola,Public Health Agency of Canada,Public Health Agency of Canada,America (AMRO),Canada,"Ottawa, Ontario","130 Colonnade Road, A.L. 6501H  ",K1A 0K9,1-844-280-5020,http://www.phac-aspc.gc.ca/contac-eng.php,Public,http://www.phac-aspc.gc.ca/index-eng.php?utm_source=VanityURL&utm_medium=URL&utm_campaign=publichealth.gc.ca,,Vaccine,"developer of VSV-EBOV-GP (V920) candidate, uses vesicular stomatis virus ",http://www.phac-aspc.gc.ca/id-mi/vsv-ebov-fs-eng.php
133,Ebola,Canadian Immunization Research Network,Canadian Immunization Research Network,America (AMRO),Canada," Halifax, Nova Scotia","PO Box 9700, 5850-5980 University Ave.", B3K 6R8,(902) 470-6968,allison.young@iwk.nshealth.ca,Public,http://cirnetwork.ca,,Vaccine,Conducted Phase I Clincal Trials for rVSV-EBOV-GP alliance,http://www.cihr-irsc.gc.ca/e/49525.html
134,Ebola,Merck & Co,Merck,America (AMRO),United States,"Kenilworth, NJ",2000 Galloping Hill Road,7033,908-740-4000,N/A,Private,merck.com,,Vaccine,licensed rVSV- EBOV-GP vaccine candidate from NewLink for further development,http://www.mercknewsroom.com/news-release/ebola-newsroom/phase-iii-trial-merck-and-newlink-genetics-investigational-ebola-vaccine
135,Ebola,New Link,New Link,America (AMRO),United States,"Ames, IA",2503 South Loop Drive Suite 5100,50010,515-296-5555,info@newlinkgenetics.com,Private,http://www.newlinkgenetics.com,,Vaccine,further developing rVSV-EBOV-GP vaccine candidate with Merck,http://www.mercknewsroom.com/news-release/ebola-newsroom/phase-iii-trial-merck-and-newlink-genetics-investigational-ebola-vaccine
136,Ebola,Epicentre,Epicentre,America (AMRO),United States,"Charlotte, NC ",210 E Trade St ,28202,(608) 258-3080,customerservice@illumina.com,Private,http://www.epibio.com/home,,Vaccine,Financed clinical trials,http://www.who.int/medicines/ebola-treatment/q_a_vaccine_trial_guinea/en/
137,Ebola,US Center for Disease Control and Prevention CDC (USA),US Centers for Disease Control and Prevention (CDC),America (AMRO),United States,"Atlanta, GA",1600 Clifton Road,30333,800-CDC-INFO,https://wwwn.cdc.gov/dcs/ContactUs/Form,Public,http://www.cdc.gov,,Vaccine,Clinical trials in Sierra Leone for Ebola,http://www.cdc.gov/vhf/ebola/strive/,http://www.fda.gov/EmergencyPreparedness/Counterterrorism/MedicalCountermeasures/MCMLegalRegulatoryandPolicyFramework/ucm182568.htm,,,,,,,,,,,
138,Ebola,US Center for Disease Control and Prevention CDC (USA),US Centers for Disease Control and Prevention (CDC),America (AMRO),United States,"Atlanta, GA",1600 Clifton Road,30333,800-CDC-INFO,https://wwwn.cdc.gov/dcs/ContactUs/Form,Public,http://www.cdc.gov,,Laboratory Methods,developing NP Real-Time RT-PCR Assay to detect Ebola,http://www.fda.gov/EmergencyPreparedness/Counterterrorism/MedicalCountermeasures/MCMLegalRegulatoryandPolicyFramework/ucm182568.htm
139,Ebola,US Center for Disease Control and Prevention CDC (USA),US Centers for Disease Control and Prevention (CDC),America (AMRO),United States,"Atlanta, GA",1600 Clifton Road,30333,800-CDC-INFO,https://wwwn.cdc.gov/dcs/ContactUs/Form,Public,http://www.cdc.gov,,Laboratory Methods,devloping VP40 Realtime RT-PCR Assay to detect Ebola,http://www.fda.gov/EmergencyPreparedness/Counterterrorism/MedicalCountermeasures/MCMLegalRegulatoryandPolicyFramework/ucm182568.htm
140,Ebola,US Department of Defense,US Department of Defense,America (AMRO),United States,"Washington, DC",1400 Defense Pentagon,20301,703-571-3343,public.affairs@dodig.mil,Public,www.defense.gov,,Vaccine,"Collaborated in Phase I, II, and III for EBOV",http://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/BloodVaccinesandOtherBiologics/VaccinesandRelatedBiologicalProductsAdvisoryCommittee/UCM448006.pdf
141,Ebola,Department of Defense ,Department of Defense ,America (AMRO),United States,"Washington, DC",1400 Defense Pentagon,20301,703-571-3343,public.affairs@dodig.mil,Public,www.defense.gov,,Laboratory Methods,devloping EZ1 Real-time RT-PCR Assay to detect Ebola,http://www.fda.gov/EmergencyPreparedness/Counterterrorism/MedicalCountermeasures/MCMLegalRegulatoryandPolicyFramework/ucm182568.htm
142,Ebola,Biomedical Advanced Research and Development Authority (BARDA),Biomedical Advanced Research Development Authority (BARDA),America (AMRO),United States,"Washington, D.C. ","200 Independence Avenue, S.W., Room 638G ",20201, 202-205-8114,Gretchen.Michael@hhs.gov,Public,http://www.phe.gov/about/BARDA/Pages/default.aspx,,Vaccine,"Collaborated in Phase I, II, and III for EBOV",http://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/BloodVaccinesandOtherBiologics/VaccinesandRelatedBiologicalProductsAdvisoryCommittee/UCM448006.pdf
143,Ebola,National Institutes of Health,National Institutes of Health,America (AMRO),United States,"Bethesda, MD",9000 Rockville Pike,20892,301-496-4000, NIHinfo@od.nih.gov,Public,nih.gov,,Vaccine,"Collaborated in Phase I, partnered with NIAID and Liberia for Phase III",http://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/BloodVaccinesandOtherBiologics/VaccinesandRelatedBiologicalProductsAdvisoryCommittee/UCM448006.pdf
144,Ebola,Walter Reed Army Institute of Research,Walter Reed Army Institute of Research,America (AMRO),United States,"Silver Spring, MD",503 Robert Grant Ave ,20910,301-319-9471,usarmy.detrick.medcom-wrair.mbx.public-affairs@mail.mil,Public,http://wrair-www.army.mil,ISARIC,Vaccine,"Collaborated in Phase I, II, and III for EBOV",http://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/BloodVaccinesandOtherBiologics/VaccinesandRelatedBiologicalProductsAdvisoryCommittee/UCM448006.pdf
